"Table 1b: Timing of when incidents of violence with injury occurred, year ending March 2013 to year ending March 2023[note 2][note 10]",,,,,,,,,,,
"Personal incidents, percentages",,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,,,,
Some shorthand is used in this table. [s] indicates a statistically significant change at the 5% level.,,,,,,,,,,,
Link to Notes page,,,,,,,,,,,
Link to Table of Contents,,,,,,,,,,,
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,
England and Wales,,,,,,,,,,,
 ,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023[note 3],Latest year compared with Mar 2013[note 4],Latest year compared with Mar 2020[note 4]
During the week,50,39,49,58,59,45,53,55,58,,
At the weekend[note 5],50,61,51,42,41,55,47,45,42,,
Unweighted base - number of incidents,434,337,286,319,291,275,288,245,179,,
Morning/Afternoon[note 6],37,29,52,38,45,40,48,39,39,,
Morning,8,13,11,8,11,10,15,9,9,,
Afternoon,23,15,29,25,32,24,28,26,23,,
Morning/afternoon (unsure which),6,2,13,6,2,6,5,4,7,,
Evening/Night[note 7],63,71,48,62,55,60,52,61,61,,
Evening,40,48,27,37,39,42,33,46,40,,
Early evening[note 8],21,28,13,21,24,24,16,19,24,,
Late evening[note 9],19,19,14,16,14,17,17,26,16,,[s]
Night,19,20,19,23,16,16,15,14,11,[s],
Evening/night (unsure which),4,3,2,2,1,1,5,1,10,[s],[s]
Unweighted base - number of incidents,443,339,288,325,288,283,300,248,180,,
Daylight,43,38,54,40,58,49,56,42,47,,
Dark,52,60,42,53,39,48,41,53,47,,
Dawn / dusk,5,2,4,7,3,3,4,5,6,,
Unweighted base - number of incidents,441,340,289,327,289,283,299,248,181,,
