"Table 1e: Timing of when incidents of violence without injury occurred, year ending March 2013 to year ending March 2023[note 2]",,,,,,,,,,,
"Personal incidents, percentages",,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,,,,
Some shorthand is used in this table. [s] indicates a statistically significant change at the 5% level.,,,,,,,,,,,
Link to Notes page,,,,,,,,,,,
Link to Table of Contents,,,,,,,,,,,
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,
England and Wales,,,,,,,,,,,
 ,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023[note 3],Latest year compared with Mar 2013[note 4],Latest year compared with Mar 2020[note 4]
During the week,61,58,51,62,58,66,62,68,54,,[s]
At the weekend[note 5],39,42,49,38,42,34,38,32,46,,[s]
Unweighted base - number of incidents,309,299,288,301,321,292,261,249,197,,
Morning/Afternoon[note 6],47,33,43,56,48,51,51,51,52,,
Morning,12,8,15,13,17,13,11,20,15,,
Afternoon,34,21,26,37,26,29,35,25,32,,
Morning/afternoon (unsure which),2,4,2,6,5,8,6,6,5,,
Evening/Night[note 7],53,67,57,44,52,49,49,49,48,,
Evening,34,43,31,30,40,40,39,40,34,,
Early evening[note 8],21,19,14,14,23,27,29,27,19,,
Late evening[note 9],13,24,17,16,18,13,11,14,15,,
Night,14,15,15,12,11,8,9,8,10,,
Evening/night (unsure which),4,9,12,2,1,1,0,0,4,,[s]
Unweighted base - number of incidents,317,305,294,306,325,299,265,253,204,,
Daylight,47,43,45,56,53,53,59,58,61,[s],
Dark,47,51,53,36,44,37,34,40,37,,
Dawn / dusk,7,5,2,8,4,10,6,2,2,[s],
Unweighted base - number of incidents,317,306,293,309,328,299,269,254,205,,
