"Table 1a: Timing of when incidents of all violence occurred, year ending March 2013 to year ending March 2023[note 1][note 2]",,,,,,,,,,,
"Personal incidents, percentages",,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,,,,
Some shorthand is used in this table. [s] indicates a statistically significant change at the 5% level.,,,,,,,,,,,
Link to Notes page,,,,,,,,,,,
Link to Table of Contents,,,,,,,,,,,
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,
England and Wales,,,,,,,,,,,
 ,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023[note 3],Latest year compared with Mar 2013[note 4],Latest year compared with Mar 2020[note 4]
During the week,54,50,50,60,59,56,57,62,56,,
At the weekend[note 5],46,50,50,40,41,44,43,38,44,,
Unweighted base - number of incidents,743,636,574,620,612,567,549,494,376,,
Morning/Afternoon[note 6],41,31,47,48,46,46,49,45,47,,
Morning,9,10,13,11,14,12,13,15,13,,
Afternoon,28,18,27,32,29,27,31,26,28,,
Morning/afternoon (unsure which),5,3,7,6,3,7,5,5,6,,
Evening/Night[note 7],59,69,53,52,54,54,51,55,53,,
Evening,38,45,29,33,40,41,36,43,36,,
Early evening[note 8],21,23,14,17,23,26,22,23,21,,
Late evening[note 9],17,22,16,16,16,15,14,20,15,,
Night,17,17,17,16,13,12,12,11,10,[s],
Evening/night (unsure which),4,7,7,2,1,1,2,0,7,,[s]
Unweighted base - number of incidents,760,644,582,631,613,582,565,501,384,,
Daylight,45,41,49,49,55,51,57,50,55,[s],
Dark,50,55,48,43,41,42,38,46,41,[s],
Dawn / dusk,6,4,3,7,3,7,5,3,4,,
Unweighted base - number of incidents,758,646,582,636,617,582,568,502,386,,
